valence,year,acousticness,artists,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,artists_song,cluster_pca
0.285,2000,0.00239,Coldplay,0.429,266773,0.6609999999999999,3AJwUDP919kvQ9QcozQPxg,0.000121,0.234,-7.227,Yellow,84,0.0281,173.372,Coldplay - Yellow,18
0.613,2000,0.143,OutKast,0.843,270507,0.8059999999999999,0I3q5fE6wg7LIfHGngUTnV,0.0,0.0771,-5.9460000000000015,Ms. Jackson,80,0.269,94.948,OutKast - Ms. Jackson,18
0.4,2000,0.00958,Linkin Park,0.556,216880,0.8640000000000001,60a0Rd6pjrkxjPbaKzXjfq,0.0,0.209,-5.87,In the End,84,0.0584,105.143,Linkin Park - In the End,18
0.5429999999999999,2000,0.00664,3 Doors Down,0.545,233933,0.865,6ZOBP3NvffbU4SZcrnt1k6,1.1e-05,0.168,-5.7079999999999975,Kryptonite,78,0.0286,99.009,3 Doors Down - Kryptonite,18
0.76,2000,0.0302,Eminem,0.949,284200,0.6609999999999999,3yfqSUWxFvZELEM4PmlwIR,0.0,0.0454,-4.244,The Real Slim Shady,80,0.0572,104.504,Eminem - The Real Slim Shady,23
0.941,2000,0.000996,Disturbed,0.695,279213,0.8759999999999999,40rvBMQizxkIqnjPdEWY1v,6.89e-06,0.106,-4.262,Down with the Sickness,76,0.0553,89.954,Disturbed - Down with the Sickness,18
0.722,2000,0.0616,Nelly,0.85,291782,0.7,3Gf5nttwcX9aaSQXRWidEZ,1.8e-06,0.244,-6.49,Ride Wit Me,74,0.0478,101.875,Nelly - Ride Wit Me,18
0.507,2000,0.0371,Eminem,0.78,404107,0.768,3UmaczJpikHgJFyBTAJVoz,2.34e-06,0.518,-4.325,Stan,78,0.238,80.063,Eminem - Stan,23
0.861,2000,0.031,*NSYNC,0.61,200400,0.926,62bOmKYxYg7dhrC6gH9vFn,0.0012,0.0821,-4.843,Bye Bye Bye,71,0.0479,172.638,*NSYNC - Bye Bye Bye,18
0.894,2000,0.3,Britney Spears,0.7509999999999999,211160,0.8340000000000001,6naxalmIoLFWR0siv8dnQQ,1.77e-05,0.355,-5.444,Oops!...I Did It Again,78,0.0437,95.053,Britney Spears - Oops!...I Did It Again,18
0.165,2000,0.748,Coldplay,0.371,227093,0.268,7D0RhFcb3CrfPuTJ0obrod,0.0517,0.104,-10.505999999999998,Sparks,73,0.0281,102.617,Coldplay - Sparks,4
0.5379999999999999,2000,0.0014,Linkin Park,0.4920000000000001,157333,0.969,3K4HG9evC7dg3N0R9cYqk4,1.32e-06,0.0787,-4.419,One Step Closer,76,0.0491,95.136,Linkin Park - One Step Closer,18
0.654,2000,0.0561,Shaggy,0.853,227600,0.606,3WkibOpDF7cQ5xntM1epyf,0.0,0.313,-4.596,It Wasn't Me,76,0.0713,94.759,Shaggy - It Wasn't Me,18
0.565,2000,0.00689,Nelly,0.865,287000,0.664,3wMUvT6eIw2L5cZFG1yH9j,0.0,0.142,-6.822,Country Grammar (Hot Shit),70,0.108,162.83100000000005,Nelly - Country Grammar (Hot Shit),18
0.532,2000,0.0112,The Beatles,0.386,425653,0.607,0aym2LBJBk9DAYuHHutrIl,1.3800000000000008e-05,0.088,-7.7,Hey Jude - Remastered 2015,76,0.0261,147.207,The Beatles - Hey Jude - Remastered 2015,18
0.866,2000,0.386,The Beatles,0.49,145747,0.715,4pbG9SUmWIvsROVLF0zF9s,0.0,0.311,-5.549,I Want To Hold Your Hand - Remastered 2015,73,0.0476,130.726,The Beatles - I Want To Hold Your Hand - Remastered 2015,18
0.435,2000,0.00118,Lifehouse,0.541,216067,0.8640000000000001,0wqOReZDnrefefEsrIGeR4,0.0,0.0896,-4.915,Hanging By A Moment,65,0.0357,124.557,Lifehouse - Hanging By A Moment,18
0.299,2000,0.0466,Linkin Park,0.58,208960,0.7020000000000001,57BrRMwf9LrcmuOsyGilwr,3.2e-06,0.536,-5.565,Crawling,73,0.0337,105.076,Linkin Park - Crawling,18
0.915,2000,0.0281,OutKast,0.725,240027,0.64,6glsMWIMIxQ4BedzLqGVi4,0.0,0.099,-7.905,"So Fresh, So Clean",68,0.332,166.028,"OutKast - So Fresh, So Clean",18
0.885,2000,0.627,Sam Cooke,0.691,125440,0.507,2g2GkH3vZHk4lWzBjgQ6nY,0.0,0.457,-10.23,(What A) Wonderful World,72,0.0343,128.518,Sam Cooke - (What A) Wonderful World,18
0.7090000000000001,2000,0.00591,Limp Bizkit,0.603,213760,0.933,3IV4swNduIRunHREK80owz,0.0,0.206,-3.358,Rollin' (Air Raid Vehicle),74,0.171,96.306,Limp Bizkit - Rollin' (Air Raid Vehicle),18
0.807,2000,0.116,Shaggy,0.74,235133,0.7659999999999999,7FDV5ELOJHCGLe52AnttEd,0.0,0.0406,-2.939,Angel,72,0.178,170.53099999999995,Shaggy - Angel,18
0.315,2000,0.144,Eminem,0.785,290427,0.871,23wfXwnsPZYe5A1xXRHb3J,0.0,0.309,-2.692,The Way I Am,71,0.265,87.24799999999998,Eminem - The Way I Am,23
0.179,2000,0.000249,Deftones,0.269,299533,0.853,51c94ac31swyDQj9B3Lzs3,0.000246,0.118,-4.647,Change (In the House of Flies),68,0.0854,141.58100000000005,Deftones - Change (In the House of Flies),18
0.6609999999999999,2000,0.00022,Linkin Park,0.524,184867,0.939,1Vej0qeQ3ioKwpI6FUbRv1,0.0,0.623,-3.994,Papercut,72,0.113,150.184,Linkin Park - Papercut,18
0.908,2000,0.0407,*NSYNC,0.636,192427,0.873,2AW37v0bDyuOzGP3XnmFuA,1.27e-06,0.0372,-4.672,It's Gonna Be Me,66,0.071,165.071,*NSYNC - It's Gonna Be Me,18
0.7020000000000001,2000,0.1689999999999999,Britney Spears,0.669,255400,0.843,0YWUHZPJVg4iujddsJDwhM,0.0,0.195,-3.766,My Only Wish (This Year),72,0.0268,147.08,Britney Spears - My Only Wish (This Year),18
0.454,2000,0.014,U2,0.539,246400,0.926,1VuBmEauSZywQVtqbxNqka,0.00136,0.36,-6.495,Beautiful Day,64,0.0499,136.279,U2 - Beautiful Day,18
0.675,2000,0.778,Sam Cooke,0.523,162533,0.402,0WVTQp3SOCuMr08jh1jweV,0.0,0.4320000000000001,-8.232999999999999,Bring It On Home to Me,68,0.0305,70.863,Sam Cooke - Bring It On Home to Me,18
0.967,2000,0.16,Ludacris,0.915,275907,0.79,4LwOrnuxJwR7C5Sw4liY4Z,0.0,0.112,-3.1860000000000004,What's Your Fantasy (Featuring Shawna),64,0.207,140.095,Ludacris - What's Your Fantasy (Featuring Shawna),23
0.475,2000,1.74e-05,Godsmack,0.395,304373,0.7559999999999999,6xXlurslWqFuyqTCBlErzX,0.00665,0.319,-4.12,Awake,66,0.0544,112.092,Godsmack - Awake,16
0.701,2000,0.0687,Christina Aguilera,0.575,241507,0.7440000000000001,32h59T8q2SonUPJ006lyXt,0.0,0.0723,-5.466,This Christmas,67,0.0603,183.79,Christina Aguilera - This Christmas,18
0.304,2000,3.45e-05,A Perfect Circle,0.366,247267,0.894,5KDNFlHAdDJ84fhK27c35X,0.17,0.267,-4.682,Judith,66,0.0568,82.305,A Perfect Circle - Judith,18
0.472,2000,0.915,Sam Cooke,0.5770000000000001,162467,0.254,5aivQ5CkXXHJoMLy0o92HL,0.0,0.136,-10.13,You Send Me,64,0.0302,96.77,Sam Cooke - You Send Me,18
0.677,2000,0.155,Eminem,0.897,264400,0.5589999999999999,5eGEc27nnhtmcOh6RC890a,0.000127,0.296,-8.267999999999999,Kill You,69,0.379,106.991,Eminem - Kill You,23
